method,rank,feature,score
mutual_information,190,exudate_mean_area,0.003234115878002042
mutual_information,191,ma_superior_count,0.0032298599630853353
mutual_information,192,hsv_s_min,0.003085359911267016
mutual_information,193,lab_color_l_mean,0.002841261723877997
mutual_information,194,cotton_wool_mean_area,0.0023182882014884942
mutual_information,195,soft_exudate_texture_std,0.001394472448814188
mutual_information,196,cotton_wool_aspect_ratio_mean,0.0013530494547113747
mutual_information,197,nasal_lesion_count,0.0007708210911532287
mutual_information,198,ma_mean_area,0.0004983265887916755
mutual_information,199,hard_exudate_brightness_mean,0.00027981409903699017
mutual_information,200,cotton_wool_area,0.0
mutual_information,201,cotton_wool_solidity_mean,0.0
mutual_information,202,ma_temporal_count,0.0
mutual_information,203,hard_exudate_mean_area,0.0
mutual_information,204,soft_exudate_coverage_pct,0.0
mutual_information,205,soft_exudate_distance_to_macula_mean,0.0
mutual_information,206,soft_exudate_area,0.0
mutual_information,207,soft_exudate_mean_area,0.0
mutual_information,208,soft_exudate_brightness_std,0.0
mutual_information,209,hsv_s_max,0.0
mutual_information,210,cotton_wool_circularity_mean,0.0
mutual_information,211,all_lesion_aspect_ratio_mean,0.0
mutual_information,212,nasal_lesion_density,0.0
mutual_information,213,superior_lesion_count,0.0
random_forest,1,vessel_average_width,0.024673534960122822
random_forest,2,fft_mid_frequency_ratio,0.021591169709190058
random_forest,3,temporal_texture_mean,0.017923820058024245
random_forest,4,vessel_area_ratio,0.017429230992961953
random_forest,5,temporal_lesion_density,0.01738091461823439
random_forest,6,lbp_entropy,0.016885928740643267
random_forest,7,fft_low_frequency_ratio,0.0164780746675867
random_forest,8,lbp_uniform_ratio,0.015097336375467861
random_forest,9,inferior_texture_mean,0.012858044378323965
random_forest,10,vessel_density,0.012546211639788491
random_forest,11,texture_mean,0.012402063936086142
random_forest,12,wavelet_vertical_energy,0.012228110438034175
random_forest,13,quality_blur_score,0.012157602876075936
random_forest,14,fft_dominant_radius_std,0.011977015543780473
random_forest,15,vessel_endpoint_count,0.010846144508658222
random_forest,16,lab_color_a_max,0.010771838595302232
random_forest,17,all_lesion_eccentricity_mean,0.010549926911720141
random_forest,18,quality_snr,0.010232510714191638
random_forest,19,lab_b_exudate_std,0.010045590788930258
random_forest,20,all_lesion_circularity_mean,0.009706786455491159
random_forest,21,vessel_skeleton_length,0.00955486677827599
random_forest,22,nasal_vessel_density,0.008899554965416194
random_forest,23,vessel_length,0.008710995920003623
random_forest,24,lab_color_a_mean,0.008250302756612508
random_forest,25,hsv_s_std,0.007902775742442176
random_forest,26,hsv_h_mean,0.007901045138178606
random_forest,27,lab_color_b_std,0.007800454465413297
random_forest,28,hsv_s_entropy,0.007456099679325594
random_forest,29,rgb_b_std,0.007405435738340082
random_forest,30,superior_texture_mean,0.007331569472972237
random_forest,31,lab_b_std,0.0073299720185575415
random_forest,32,lbp_std,0.007263148696970375
random_forest,33,fft_dominant_radius_mean,0.007156764253649327
random_forest,34,hard_exudate_brightness_std,0.00705062817481729
random_forest,35,hsv_h_std,0.0068674649466589875
random_forest,36,lab_color_l_entropy,0.006536362443989443
random_forest,37,vessel_fragmentation_index,0.006348016556794453
random_forest,38,wavelet_detail_energy,0.006309509345257902
random_forest,39,rgb_b_mean,0.006299481572920035
random_forest,40,hemorrhage_density,0.006298678566738062
random_forest,41,texture_skewness,0.00613300299224681
random_forest,42,inferior_vessel_density,0.005995385482458266
random_forest,43,rgb_b_entropy,0.005976995954601092
random_forest,44,all_lesion_solidity_mean,0.005945388245268833
random_forest,45,wavelet_diagonal_energy,0.00581790276144103
random_forest,46,hemorrhage_retina_affected_pct,0.005809426321166059
random_forest,47,lab_b_mean,0.005764785733183007
random_forest,48,hsv_s_mean,0.0056962349654547636
random_forest,49,fft_high_frequency_ratio,0.0056720504862555554
random_forest,50,lab_color_b_entropy,0.00559378836052277
random_forest,51,hemorrhage_area,0.00559355486146876
random_forest,52,all_lesion_compactness_mean,0.005586328349158876
random_forest,53,glcm_contrast_90,0.0055566872486602645
random_forest,54,lbp_mean,0.005488454516433088
random_forest,55,lab_color_b_mean,0.005425459798216542
random_forest,56,clinical_hemorrhage_burden_score,0.005349092509620815
random_forest,57,vessel_tortuosity_mean,0.005324640152661332
random_forest,58,lab_color_a_std,0.005262801796448905
random_forest,59,quality_sharpness,0.005207206229251413
random_forest,60,lab_color_a_entropy,0.00520094509176563
random_forest,61,superior_vessel_density,0.0050883268297687596
random_forest,62,all_lesion_aspect_ratio_mean,0.00507710913518645
random_forest,63,vessel_abnormality_score,0.005067657529542618
random_forest,64,local_texture_variance_std,0.005065295668437602
random_forest,65,nasal_texture_mean,0.0050482212571022235
random_forest,66,wavelet_horizontal_energy,0.005018729573656462
random_forest,67,lab_color_b_max,0.00501444259211772
random_forest,68,glcm_correlation,0.004976247448920993
random_forest,69,lab_b_exudate_mean,0.00497310747159392
random_forest,70,rgb_g_entropy,0.004808458910924075
random_forest,71,glcm_dissimilarity,0.0047308495216933704
random_forest,72,lesion_density_score,0.004717359616479539
random_forest,73,rgb_r_entropy,0.004678346121556458
random_forest,74,rgb_b_max,0.004666188535755401
random_forest,75,rgb_r_std,0.0046266751612737845
random_forest,76,hsv_v_entropy,0.004584567883302308
random_forest,77,temporal_lesion_count,0.004543669909141089
random_forest,78,vessel_curvature_mean,0.00452378360604967
random_forest,79,hsv_v_mean,0.004410343232084798
random_forest,80,lab_color_l_std,0.004377999041991918
random_forest,81,glcm_contrast_135,0.004355381019356063
random_forest,82,hemorrhage_largest_area,0.00434128493115495
random_forest,83,clinical_hemorrhage_to_vessel_ratio,0.004282904805857427
random_forest,84,glcm_homogeneity,0.0042800463479133865
random_forest,85,hard_exudate_brightness_mean,0.004279386289459919
random_forest,86,lab_color_l_mean,0.004268984156741754
random_forest,87,hsv_h_entropy,0.004267950323091565
random_forest,88,local_texture_variance_mean,0.004266934752512726
random_forest,89,glcm_contrast_45,0.004256133588295602
random_forest,90,glcm_contrast,0.004252966121594137
random_forest,91,stage_progression_score,0.004215713413333775
random_forest,92,hsv_v_std,0.004189714712986594
random_forest,93,nasal_texture_std,0.004165334393791196
random_forest,94,lab_color_b_min,0.00416242205124989
random_forest,95,quality_adjusted_lesion_density,0.004156864422827018
random_forest,96,clinical_vessel_abnormality_score,0.004142882829509113
random_forest,97,quality_brightness,0.004139579663205598
random_forest,98,rgb_r_mean,0.004138890204791478
random_forest,99,wavelet_approx_energy,0.004106761160294238
random_forest,100,glcm_contrast_0,0.004073437193695419
random_forest,101,temporal_vessel_density,0.003950314726826684
random_forest,102,quality_contrast,0.003924602525126512
random_forest,103,fft_energy,0.003920694373454876
random_forest,104,all_lesion_area,0.003864831960767404
random_forest,105,hard_exudate_distance_to_optic_disc_mean,0.0038362526295044924
random_forest,106,lab_color_a_min,0.00380767604078495
random_forest,107,advanced_dr_indicator_score,0.0037929252718702498
random_forest,108,hemorrhage_mean_area,0.0037917814343673287
random_forest,109,rgb_g_mean,0.0037684515253011597
random_forest,110,temporal_texture_std,0.0037611804501227436
random_forest,111,vessel_tortuosity_std,0.0037590032827998104
random_forest,112,ma_distance_to_optic_disc_mean,0.0037195229120612215
random_forest,113,vessel_curvature_std,0.0037015772361490644
random_forest,114,lesion_vessel_interaction,0.0036493618119187053
random_forest,115,lab_color_l_max,0.003612290038104617
random_forest,116,texture_kurtosis,0.0036122456488682517
random_forest,117,vessel_tortuosity_max,0.0035391103357934523
random_forest,118,rgb_g_std,0.0035203672195202426
random_forest,119,nasal_lesion_density,0.003507140993262451
random_forest,120,ma_distance_to_optic_disc_min,0.0034915894017760823
random_forest,121,clinical_total_lesion_area,0.0034440577590794524
random_forest,122,clinical_lesion_burden_score,0.003420248140748446
random_forest,123,clinical_microaneurysm_density_score,0.003404249742024078
random_forest,124,superior_texture_std,0.0033984753739865997
random_forest,125,combined_lesion_burden,0.0033972176591274992
random_forest,126,superior_lesion_density,0.003393715066010709
random_forest,127,texture_lesion_interaction,0.00337658992634083
random_forest,128,referable_lesion_score,0.0033761790665151237
random_forest,129,inferior_texture_std,0.0033492576079409402
random_forest,130,glcm_energy_45,0.003345304053669606
random_forest,131,glcm_entropy,0.0033440490703620764
random_forest,132,glcm_energy_0,0.003340565081817391
