number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
20,0.7996677932519515,14.0,sqrt,6,9,240,0.7995843523339307,"{'accuracy': {'mean': 0.8159996414023087, 'std': 0.005396655494453866}, 'balanced_accuracy': {'mean': 0.8179736373295674, 'std': 0.005821657646739965}, 'brier_score': {'mean': 0.13542643779577185, 'std': 0.0012153139143152398}, 'cohen_kappa': {'mean': 0.6300618837765802, 'std': 0.011048074850333135}, 'f1': {'mean': 0.7995843523339307, 'std': 0.0065389999198911105}, 'mean_absolute_stage_error': {'mean': 0.18400035859769126, 'std': 0.005396655494453861}, 'precision': {'mean': 0.7676729152461736, 'std': 0.006628111873189011}, 'quadratic_weighted_kappa': {'mean': 0.6300618837765802, 'std': 0.011048074850333135}, 'recall': {'mean': 0.8344091802076546, 'std': 0.012805385345375299}, 'roc_auc': {'mean': 0.8974761996268695, 'std': 0.0032028533006884185}}",0.8344091802076546,COMPLETE
21,0.8024685194965243,14.0,sqrt,5,12,240,0.8023847668735902,"{'accuracy': {'mean': 0.8185459247146201, 'std': 0.0061134448053595785}, 'balanced_accuracy': {'mean': 0.8205814188513507, 'std': 0.0067590061749993584}, 'brier_score': {'mean': 0.1353813833102529, 'std': 0.0012066543163007262}, 'cohen_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'f1': {'mean': 0.8023847668735902, 'std': 0.007663031569283231}, 'mean_absolute_stage_error': {'mean': 0.18145407528538, 'std': 0.006113444805359591}, 'precision': {'mean': 0.7701838447409071, 'std': 0.0057102378948449125}, 'quadratic_weighted_kappa': {'mean': 0.6351921208441663, 'std': 0.012653305108109924}, 'recall': {'mean': 0.8375262293416839, 'std': 0.014144639788941015}, 'roc_auc': {'mean': 0.8974289662687586, 'std': 0.002968816550945297}}",0.8375262293416839,COMPLETE
22,0.8021998363162267,14.0,sqrt,5,12,280,0.8021160393232798,"{'accuracy': {'mean': 0.8181539122384885, 'std': 0.006910072539191045}, 'balanced_accuracy': {'mean': 0.8202788698668746, 'std': 0.007668634588529181}, 'brier_score': {'mean': 0.13531683225384689, 'std': 0.0011748347320706175}, 'cohen_kappa': {'mean': 0.6344681383433499, 'std': 0.014326440185866164}, 'f1': {'mean': 0.8021160393232798, 'std': 0.00865042783218205}, 'mean_absolute_stage_error': {'mean': 0.18184608776151143, 'std': 0.006910072539191052}, 'precision': {'mean': 0.76930401297154, 'std': 0.005463146582115197}, 'quadratic_weighted_kappa': {'mean': 0.6344681383433499, 'std': 0.014326440185866164}, 'recall': {'mean': 0.8379699294687738, 'std': 0.015248515545968738}, 'roc_auc': {'mean': 0.8976252259538395, 'std': 0.0029959063385697404}}",0.8379699294687738,COMPLETE
23,0.8025178110438754,14.0,sqrt,3,11,240,0.802434526052633,"{'accuracy': {'mean': 0.8196221971970893, 'std': 0.008932192880083656}, 'balanced_accuracy': {'mean': 0.8210407690957029, 'std': 0.009531267481809743}, 'brier_score': {'mean': 0.13453104013979011, 'std': 0.0014262430507332525}, 'cohen_kappa': {'mean': 0.6368976448327903, 'std': 0.018273921409526016}, 'f1': {'mean': 0.802434526052633, 'std': 0.010573255158454954}, 'mean_absolute_stage_error': {'mean': 0.18037780280291077, 'std': 0.008932192880083673}, 'precision': {'mean': 0.7742575190559632, 'std': 0.008270050524424078}, 'quadratic_weighted_kappa': {'mean': 0.6368976448327903, 'std': 0.018273921409526016}, 'recall': {'mean': 0.8328499124243468, 'std': 0.016076794424219446}, 'roc_auc': {'mean': 0.8985677858407621, 'std': 0.003476712860502961}}",0.8328499124243468,COMPLETE
24,0.802047604916685,14.0,sqrt,3,11,200,0.8019643422219314,"{'accuracy': {'mean': 0.8191325291732167, 'std': 0.00892815334352867}, 'balanced_accuracy': {'mean': 0.8205793303962423, 'std': 0.009509108610520197}, 'brier_score': {'mean': 0.13477649898097452, 'std': 0.001312816810893193}, 'cohen_kappa': {'mean': 0.6359382525680762, 'std': 0.018252037004106818}, 'f1': {'mean': 0.8019643422219314, 'std': 0.010526942428119444}, 'mean_absolute_stage_error': {'mean': 0.1808674708267834, 'std': 0.008928153343528688}, 'precision': {'mean': 0.7735712531207802, 'std': 0.008344589832653114}, 'quadratic_weighted_kappa': {'mean': 0.6359382525680762, 'std': 0.018252037004106818}, 'recall': {'mean': 0.8326269475363619, 'std': 0.015882545163694056}, 'roc_auc': {'mean': 0.8979018654271357, 'std': 0.0032827453330512403}}",0.8326269475363619,COMPLETE
25,0.7633583639825203,6.0,sqrt,2,9,240,0.763274923361786,"{'accuracy': {'mean': 0.7723267093436272, 'std': 0.00693553407384384}, 'balanced_accuracy': {'mean': 0.7789792540300683, 'std': 0.007444126143556905}, 'brier_score': {'mean': 0.1608542100119694, 'std': 0.0013507304554230106}, 'cohen_kappa': {'mean': 0.5470262214472139, 'std': 0.014125742157053752}, 'f1': {'mean': 0.763274923361786, 'std': 0.008066895839328167}, 'mean_absolute_stage_error': {'mean': 0.22767329065637282, 'std': 0.006935534073843834}, 'precision': {'mean': 0.7033774706489797, 'std': 0.005955525807042421}, 'quadratic_weighted_kappa': {'mean': 0.5470262214472139, 'std': 0.014125742157053752}, 'recall': {'mean': 0.8344062073424816, 'std': 0.013450481455744285}, 'roc_auc': {'mean': 0.8666549740525994, 'std': 0.004279004630720796}}",0.8344062073424816,COMPLETE
26,0.8023734606532615,18.0,sqrt,4,10,280,0.802290309019796,"{'accuracy': {'mean': 0.8197204280352441, 'std': 0.007247945994234573}, 'balanced_accuracy': {'mean': 0.8209856388937705, 'std': 0.007581498902971202}, 'brier_score': {'mean': 0.133956320235231, 'std': 0.0013796804445795742}, 'cohen_kappa': {'mean': 0.636994575982745, 'std': 0.014708867154196567}, 'f1': {'mean': 0.802290309019796, 'std': 0.008366794483602615}, 'mean_absolute_stage_error': {'mean': 0.1802795719647558, 'std': 0.0072479459942345935}, 'precision': {'mean': 0.7751751643504209, 'std': 0.008625302973963548}, 'quadratic_weighted_kappa': {'mean': 0.636994575982745, 'std': 0.014708867154196567}, 'recall': {'mean': 0.8315163346554325, 'std': 0.013662393963754576}, 'roc_auc': {'mean': 0.8989548122337077, 'std': 0.0035319214629891942}}",0.8315163346554325,COMPLETE
27,0.8009203333159192,14.0,sqrt,2,11,160,0.8008373822022096,"{'accuracy': {'mean': 0.8185455411876774, 'std': 0.007069553490220661}, 'balanced_accuracy': {'mean': 0.8197213376870749, 'std': 0.007907564228229984}, 'brier_score': {'mean': 0.13492535351254625, 'std': 0.0013206222415669527}, 'cohen_kappa': {'mean': 0.6345612156481863, 'std': 0.014726757217231797}, 'f1': {'mean': 0.8008373822022096, 'std': 0.009013288622847938}, 'mean_absolute_stage_error': {'mean': 0.18145445881232253, 'std': 0.007069553490220649}, 'precision': {'mean': 0.7741831354097237, 'std': 0.005091256426111898}, 'quadratic_weighted_kappa': {'mean': 0.6345612156481863, 'std': 0.014726757217231797}, 'recall': {'mean': 0.8295111370961548, 'std': 0.015815853922382835}, 'roc_auc': {'mean': 0.8974826969772088, 'std': 0.0032843985300982483}}",0.8295111370961548,COMPLETE
28,0.8001173220779333,14.0,log2,3,11,200,0.8000337700738506,"{'accuracy': {'mean': 0.8162935189220208, 'std': 0.00463784724387382}, 'balanced_accuracy': {'mean': 0.8183545483704069, 'std': 0.005467908507879213}, 'brier_score': {'mean': 0.1368965280185684, 'std': 0.0011913734272090567}, 'cohen_kappa': {'mean': 0.630705777235651, 'std': 0.009836477998039004}, 'f1': {'mean': 0.8000337700738506, 'std': 0.006413337115766152}, 'mean_absolute_stage_error': {'mean': 0.1837064810779792, 'std': 0.004637847243873824}, 'precision': {'mean': 0.7675706226287804, 'std': 0.004370546123283281}, 'quadratic_weighted_kappa': {'mean': 0.630705777235651, 'std': 0.009836477998039004}, 'recall': {'mean': 0.8355200408273482, 'std': 0.014256559072430546}, 'roc_auc': {'mean': 0.8959623116187867, 'std': 0.003168939466896196}}",0.8355200408273482,COMPLETE
29,0.7999044566397282,14.0,,8,12,200,0.7998207485602239,"{'accuracy': {'mean': 0.8156082042165911, 'std': 0.006270186928954491}, 'balanced_accuracy': {'mean': 0.8179100021077614, 'std': 0.005533144020759174}, 'brier_score': {'mean': 0.13559966022786513, 'std': 0.0020261880550884507}, 'cohen_kappa': {'mean': 0.6295468143003348, 'std': 0.011973901524070745}, 'f1': {'mean': 0.7998207485602239, 'std': 0.005378407178628123}, 'mean_absolute_stage_error': {'mean': 0.18439179578340892, 'std': 0.006270186928954501}, 'precision': {'mean': 0.7658696451324097, 'std': 0.011081231604575682}, 'quadratic_weighted_kappa': {'mean': 0.6295468143003348, 'std': 0.011973901524070745}, 'recall': {'mean': 0.8370807950432428, 'std': 0.006371772632484954}, 'roc_auc': {'mean': 0.8929253629992353, 'std': 0.003966638003945133}}",0.8370807950432428,COMPLETE
