number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
20,0.8064819067657181,18.0,,5,11,160,0.8063979095007541,"{'accuracy': {'mean': 0.8225599656359858, 'std': 0.007851502997126211}, 'balanced_accuracy': {'mean': 0.8244267007172723, 'std': 0.00797253695091614}, 'brier_score': {'mean': 0.1302511031939196, 'std': 0.0012607956932895988}, 'cohen_kappa': {'mean': 0.6431151427076381, 'std': 0.01575365993662803}, 'f1': {'mean': 0.8063979095007541, 'std': 0.008590807498178395}, 'mean_absolute_stage_error': {'mean': 0.17744003436401407, 'std': 0.007851502997126182}, 'precision': {'mean': 0.775518182509663, 'std': 0.00986604632919863}, 'quadratic_weighted_kappa': {'mean': 0.6431151427076381, 'std': 0.01575365993662803}, 'recall': {'mean': 0.8399726496404073, 'std': 0.012561916565832477}, 'roc_auc': {'mean': 0.9033838377160233, 'std': 0.0029681873006707944}}",0.8399726496404073,COMPLETE
21,0.8064819067657181,18.0,,5,11,160,0.8063979095007541,"{'accuracy': {'mean': 0.8225599656359858, 'std': 0.007851502997126211}, 'balanced_accuracy': {'mean': 0.8244267007172723, 'std': 0.00797253695091614}, 'brier_score': {'mean': 0.1302511031939196, 'std': 0.0012607956932896033}, 'cohen_kappa': {'mean': 0.6431151427076381, 'std': 0.01575365993662803}, 'f1': {'mean': 0.8063979095007541, 'std': 0.008590807498178395}, 'mean_absolute_stage_error': {'mean': 0.17744003436401407, 'std': 0.007851502997126182}, 'precision': {'mean': 0.775518182509663, 'std': 0.00986604632919863}, 'quadratic_weighted_kappa': {'mean': 0.6431151427076381, 'std': 0.01575365993662803}, 'recall': {'mean': 0.8399726496404073, 'std': 0.012561916565832477}, 'roc_auc': {'mean': 0.9033838377160233, 'std': 0.0029681873006707944}}",0.8399726496404073,COMPLETE
22,0.8078429259146775,18.0,,5,10,160,0.807759106798659,"{'accuracy': {'mean': 0.8245192130218904, 'std': 0.006107048428827365}, 'balanced_accuracy': {'mean': 0.8259848850135049, 'std': 0.006830706228482766}, 'brier_score': {'mean': 0.12964156240619348, 'std': 0.0009601485375319167}, 'cohen_kappa': {'mean': 0.6467385086016361, 'std': 0.012708799685848593}, 'f1': {'mean': 0.807759106798659, 'std': 0.0077542654593508375}, 'mean_absolute_stage_error': {'mean': 0.1754807869781097, 'std': 0.006107048428827346}, 'precision': {'mean': 0.7795363114903917, 'std': 0.004402433594807859}, 'quadratic_weighted_kappa': {'mean': 0.6467385086016361, 'std': 0.012708799685848593}, 'recall': {'mean': 0.8381911601854078, 'std': 0.01365329227947955}, 'roc_auc': {'mean': 0.9042956630010112, 'std': 0.0023080603836476386}}",0.8381911601854078,COMPLETE
23,0.8058574418292691,18.0,,3,9,240,0.8057744014800565,"{'accuracy': {'mean': 0.8239316497459374, 'std': 0.007183099540102906}, 'balanced_accuracy': {'mean': 0.8246263984008498, 'std': 0.007935376516019102}, 'brier_score': {'mean': 0.12830578110835683, 'std': 0.0011556457052026303}, 'cohen_kappa': {'mean': 0.6450158312735776, 'std': 0.014908104573059487}, 'f1': {'mean': 0.8057744014800565, 'std': 0.009026654230887917}, 'mean_absolute_stage_error': {'mean': 0.17606835025406262, 'std': 0.007183099540102917}, 'precision': {'mean': 0.7826545653989548, 'std': 0.005492362501288538}, 'quadratic_weighted_kappa': {'mean': 0.6450158312735776, 'std': 0.014908104573059487}, 'recall': {'mean': 0.8304034921256231, 'std': 0.015092796579027148}, 'roc_auc': {'mean': 0.905322599945675, 'std': 0.002715245243905396}}",0.8304034921256231,COMPLETE
24,0.8078429259146775,18.0,,5,7,160,0.807759106798659,"{'accuracy': {'mean': 0.8245192130218904, 'std': 0.006107048428827365}, 'balanced_accuracy': {'mean': 0.8259848850135049, 'std': 0.006830706228482766}, 'brier_score': {'mean': 0.12964156240619348, 'std': 0.0009601485375319167}, 'cohen_kappa': {'mean': 0.6467385086016361, 'std': 0.012708799685848593}, 'f1': {'mean': 0.807759106798659, 'std': 0.0077542654593508375}, 'mean_absolute_stage_error': {'mean': 0.1754807869781097, 'std': 0.006107048428827346}, 'precision': {'mean': 0.7795363114903917, 'std': 0.004402433594807859}, 'quadratic_weighted_kappa': {'mean': 0.6467385086016361, 'std': 0.012708799685848593}, 'recall': {'mean': 0.8381911601854078, 'std': 0.01365329227947955}, 'roc_auc': {'mean': 0.9042956630010112, 'std': 0.0023080603836476386}}",0.8381911601854078,COMPLETE
25,0.8068754754296665,14.0,,5,7,160,0.8067911886324085,"{'accuracy': {'mean': 0.8224626936151873, 'std': 0.006266697856406745}, 'balanced_accuracy': {'mean': 0.8246509683457015, 'std': 0.007122859355678647}, 'brier_score': {'mean': 0.13155230384069244, 'std': 0.0013577802682197956}, 'cohen_kappa': {'mean': 0.6431285545552854, 'std': 0.013066321384606968}, 'f1': {'mean': 0.8067911886324085, 'std': 0.008145804274859551}, 'mean_absolute_stage_error': {'mean': 0.17753730638481272, 'std': 0.006266697856406758}, 'precision': {'mean': 0.7738902642831139, 'std': 0.006910037344356608}, 'quadratic_weighted_kappa': {'mean': 0.6431285545552854, 'std': 0.013066321384606968}, 'recall': {'mean': 0.8428679725802736, 'std': 0.017526107779189053}, 'roc_auc': {'mean': 0.9028588470300724, 'std': 0.003043546548866641}}",0.8428679725802736,COMPLETE
26,0.7595164069503443,6.0,,4,9,200,0.7594320762042295,"{'accuracy': {'mean': 0.7649830313298366, 'std': 0.0055705197146804905}, 'balanced_accuracy': {'mean': 0.77337598032793, 'std': 0.006059938624148566}, 'brier_score': {'mean': 0.16459434744050522, 'std': 0.0017037611392346293}, 'cohen_kappa': {'mean': 0.5341060149771202, 'std': 0.011361592410039303}, 'f1': {'mean': 0.7594320762042295, 'std': 0.006721123286166356}, 'mean_absolute_stage_error': {'mean': 0.23501696867016347, 'std': 0.005570519714680493}, 'precision': {'mean': 0.6908307175186408, 'std': 0.005392347488296779}, 'quadratic_weighted_kappa': {'mean': 0.5341060149771202, 'std': 0.011361592410039303}, 'recall': {'mean': 0.8433074611483683, 'std': 0.014006402876526445}, 'roc_auc': {'mean': 0.8631064710681284, 'std': 0.004791861636030114}}",0.8433074611483683,COMPLETE
27,0.8078429259146775,18.0,,5,8,160,0.807759106798659,"{'accuracy': {'mean': 0.8245192130218904, 'std': 0.006107048428827365}, 'balanced_accuracy': {'mean': 0.8259848850135049, 'std': 0.006830706228482766}, 'brier_score': {'mean': 0.12964156240619348, 'std': 0.0009601485375319167}, 'cohen_kappa': {'mean': 0.6467385086016361, 'std': 0.012708799685848593}, 'f1': {'mean': 0.807759106798659, 'std': 0.0077542654593508375}, 'mean_absolute_stage_error': {'mean': 0.1754807869781097, 'std': 0.006107048428827346}, 'precision': {'mean': 0.7795363114903917, 'std': 0.004402433594807859}, 'quadratic_weighted_kappa': {'mean': 0.6467385086016361, 'std': 0.012708799685848593}, 'recall': {'mean': 0.8381911601854078, 'std': 0.01365329227947955}, 'roc_auc': {'mean': 0.9042956630010112, 'std': 0.0023080603836476386}}",0.8381911601854078,COMPLETE
28,0.8027227186106053,18.0,sqrt,2,7,160,0.802638788160786,"{'accuracy': {'mean': 0.8184483650486145, 'std': 0.005462741052591246}, 'balanced_accuracy': {'mean': 0.8206843753253494, 'std': 0.006175788060641372}, 'brier_score': {'mean': 0.13736761245753176, 'std': 0.00119317989117558}, 'cohen_kappa': {'mean': 0.6351413072447283, 'std': 0.011416441516098925}, 'f1': {'mean': 0.802638788160786, 'std': 0.007043433815326603}, 'mean_absolute_stage_error': {'mean': 0.18155163495138554, 'std': 0.005462741052591231}, 'precision': {'mean': 0.7691090669075801, 'std': 0.0037037947170975227}, 'quadratic_weighted_kappa': {'mean': 0.6351413072447283, 'std': 0.011416441516098925}, 'recall': {'mean': 0.8393044981927457, 'std': 0.012785994352747255}, 'roc_auc': {'mean': 0.8976468467399288, 'std': 0.0030487680565391955}}",0.8393044981927457,COMPLETE
29,0.7935358786892713,18.0,log2,4,8,120,0.793450368062517,"{'accuracy': {'mean': 0.8041514394485265, 'std': 0.0035461847816755684}, 'balanced_accuracy': {'mean': 0.8096133635679509, 'std': 0.004038656315032913}, 'brier_score': {'mean': 0.1473271926485975, 'std': 0.0015494527567305682}, 'cohen_kappa': {'mean': 0.6090779572590965, 'std': 0.007379528393980324}, 'f1': {'mean': 0.793450368062517, 'std': 0.004578579405792711}, 'mean_absolute_stage_error': {'mean': 0.1958485605514734, 'std': 0.0035461847816755853}, 'precision': {'mean': 0.7401466989021711, 'std': 0.003466243756678553}, 'quadratic_weighted_kappa': {'mean': 0.6090779572590965, 'std': 0.007379528393980324}, 'recall': {'mean': 0.8551062675430012, 'std': 0.010107599380740823}, 'roc_auc': {'mean': 0.8879733992214506, 'std': 0.004200007995900354}}",0.8551062675430012,COMPLETE
