number,value,params_max_depth,params_max_features,params_min_samples_leaf,params_min_samples_split,params_n_estimators,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
20,0.7980145957934413,18.0,sqrt,2,9,280,0.7979340707111301,"{'accuracy': {'mean': 0.8206016770674379, 'std': 0.007804443272151162}, 'balanced_accuracy': {'mean': 0.8189563465877449, 'std': 0.008272236180568765}, 'brier_score': {'mean': 0.13288152418453197, 'std': 0.001325940565027665}, 'cohen_kappa': {'mean': 0.6366559714738435, 'std': 0.016032002563335628}, 'f1': {'mean': 0.7979340707111301, 'std': 0.009416067492010264}, 'mean_absolute_stage_error': {'mean': 0.17939832293256208, 'std': 0.007804443272151127}, 'precision': {'mean': 0.790814055540954, 'std': 0.007684478414588185}, 'quadratic_weighted_kappa': {'mean': 0.6366559714738435, 'std': 0.016032002563335628}, 'recall': {'mean': 0.8052508231120449, 'std': 0.013263402181999607}, 'roc_auc': {'mean': 0.8991783380836693, 'std': 0.0031498056075643177}}",0.8052508231120449,COMPLETE
21,0.8005056274475381,18.0,sqrt,4,8,200,0.8004242341895008,"{'accuracy': {'mean': 0.8214828781587638, 'std': 0.010300809858668679}, 'balanced_accuracy': {'mean': 0.8206746181663058, 'std': 0.01090853495417629}, 'brier_score': {'mean': 0.1332580217848065, 'std': 0.001065510920286577}, 'cohen_kappa': {'mean': 0.6390265758366558, 'std': 0.02112535321054721}, 'f1': {'mean': 0.8004242341895008, 'std': 0.01230630148567105}, 'mean_absolute_stage_error': {'mean': 0.17851712184123616, 'std': 0.010300809858668682}, 'precision': {'mean': 0.7874310699269782, 'std': 0.009538327899167797}, 'quadratic_weighted_kappa': {'mean': 0.6390265758366558, 'std': 0.02112535321054721}, 'recall': {'mean': 0.8139325803726487, 'std': 0.01683519001633602}, 'roc_auc': {'mean': 0.8988749924827063, 'std': 0.0028036010812294357}}",0.8139325803726487,COMPLETE
22,0.8002745548802569,18.0,sqrt,4,11,200,0.8001926052257285,"{'accuracy': {'mean': 0.8200135864419391, 'std': 0.01020111420701181}, 'balanced_accuracy': {'mean': 0.8199593323603989, 'std': 0.010883586426165305}, 'brier_score': {'mean': 0.13403017594086353, 'std': 0.0013878987665412717}, 'cohen_kappa': {'mean': 0.6366144564941534, 'std': 0.020947788282724637}, 'f1': {'mean': 0.8001926052257285, 'std': 0.01226799474227864}, 'mean_absolute_stage_error': {'mean': 0.17998641355806094, 'std': 0.010201114207011794}, 'precision': {'mean': 0.7818882820744694, 'std': 0.009452009396598408}, 'quadratic_weighted_kappa': {'mean': 0.6366144564941534, 'std': 0.020947788282724637}, 'recall': {'mean': 0.8194965452829301, 'std': 0.017959760059793595}, 'roc_auc': {'mean': 0.8977668453373294, 'std': 0.0032570215813782855}}",0.8194965452829301,COMPLETE
23,0.7976118881659,18.0,sqrt,3,7,240,0.7975312518241097,"{'accuracy': {'mean': 0.8199160267759336, 'std': 0.007733505739524973}, 'balanced_accuracy': {'mean': 0.8184636164578617, 'std': 0.00825521422245617}, 'brier_score': {'mean': 0.13258871469377795, 'std': 0.0010403215377190896}, 'cohen_kappa': {'mean': 0.6354136166814558, 'std': 0.01590687690621692}, 'f1': {'mean': 0.7975312518241097, 'std': 0.009441340414153647}, 'mean_absolute_stage_error': {'mean': 0.18008397322406652, 'std': 0.007733505739524941}, 'precision': {'mean': 0.7890215453591164, 'std': 0.008424436508426144}, 'quadratic_weighted_kappa': {'mean': 0.6354136166814558, 'std': 0.01590687690621692}, 'recall': {'mean': 0.8063634179030895, 'std': 0.014917554829759002}, 'roc_auc': {'mean': 0.8995730406169269, 'std': 0.0026521741323267995}}",0.8063634179030895,COMPLETE
24,0.7981813091869384,18.0,sqrt,6,3,160,0.7980990703717242,"{'accuracy': {'mean': 0.8169786418639793, 'std': 0.006851427895458486}, 'balanced_accuracy': {'mean': 0.8175589054669905, 'std': 0.007402840003056963}, 'brier_score': {'mean': 0.1350245051788836, 'std': 0.0011832698561449748}, 'cohen_kappa': {'mean': 0.6309952571317627, 'std': 0.014102879891984608}, 'f1': {'mean': 0.7980990703717242, 'std': 0.008369603646642446}, 'mean_absolute_stage_error': {'mean': 0.18302135813602072, 'std': 0.006851427895458498}, 'precision': {'mean': 0.7752996571981838, 'std': 0.006696901390431586}, 'quadratic_weighted_kappa': {'mean': 0.6309952571317627, 'std': 0.014102879891984608}, 'recall': {'mean': 0.8223881521413301, 'std': 0.013825845432197064}, 'roc_auc': {'mean': 0.897077437315515, 'std': 0.003121663457089689}}",0.8223881521413301,COMPLETE
25,0.7994810876055194,18.0,sqrt,5,5,200,0.799399071210168,"{'accuracy': {'mean': 0.8189371701368664, 'std': 0.007580369122775933}, 'balanced_accuracy': {'mean': 0.8190692602523066, 'std': 0.008096857630034274}, 'brier_score': {'mean': 0.13426986982041678, 'std': 0.0011404812682331185}, 'cohen_kappa': {'mean': 0.6345976398488282, 'std': 0.015570749269012323}, 'f1': {'mean': 0.799399071210168, 'std': 0.00910398508117494}, 'mean_absolute_stage_error': {'mean': 0.1810628298631336, 'std': 0.0075803691227759274}, 'precision': {'mean': 0.7797003939829136, 'std': 0.0065447161986087925}, 'quadratic_weighted_kappa': {'mean': 0.6345976398488282, 'std': 0.015570749269012323}, 'recall': {'mean': 0.8201639535142983, 'std': 0.012917564522436857}, 'roc_auc': {'mean': 0.8980094962935758, 'std': 0.002713800663124179}}",0.8201639535142983,COMPLETE
26,0.7637461106570839,6.0,sqrt,8,8,280,0.7636628256410676,"{'accuracy': {'mean': 0.7732087733705738, 'std': 0.0068373498424941295}, 'balanced_accuracy': {'mean': 0.7796003671741655, 'std': 0.006991575273584787}, 'brier_score': {'mean': 0.16052064153787565, 'std': 0.0012330049963715669}, 'cohen_kappa': {'mean': 0.5485485947866817, 'std': 0.01362592007524636}, 'f1': {'mean': 0.7636628256410676, 'std': 0.007283615174760388}, 'mean_absolute_stage_error': {'mean': 0.22679122662942622, 'std': 0.006837349842494127}, 'precision': {'mean': 0.705142657537619, 'std': 0.007045938202350625}, 'quadratic_weighted_kappa': {'mean': 0.5485485947866817, 'std': 0.01362592007524636}, 'recall': {'mean': 0.8328501601631112, 'std': 0.010923831789543516}, 'roc_auc': {'mean': 0.8668602398395532, 'std': 0.004001315413638197}}",0.8328501601631112,COMPLETE
27,0.7999096915930207,18.0,sqrt,4,10,240,0.7998280089513328,"{'accuracy': {'mean': 0.8202097604730423, 'std': 0.009021495395870492}, 'balanced_accuracy': {'mean': 0.8198487326707641, 'std': 0.009875087804758214}, 'brier_score': {'mean': 0.1335390895065323, 'std': 0.0013144890411266581}, 'cohen_kappa': {'mean': 0.6367821069354926, 'std': 0.018698740627992233}, 'f1': {'mean': 0.7998280089513328, 'std': 0.011323847335237409}, 'mean_absolute_stage_error': {'mean': 0.17979023952695788, 'std': 0.009021495395870492}, 'precision': {'mean': 0.7836826661797824, 'std': 0.007870447343465415}, 'quadratic_weighted_kappa': {'mean': 0.6367821069354926, 'std': 0.018698740627992233}, 'recall': {'mean': 0.8168264168799284, 'std': 0.01863177110937409}, 'roc_auc': {'mean': 0.8987019714770395, 'std': 0.003121542522334693}}",0.8168264168799284,COMPLETE
28,0.7971463806102675,18.0,log2,3,6,120,0.7970657885889422,"{'accuracy': {'mean': 0.8195251169397618, 'std': 0.005200170373963838}, 'balanced_accuracy': {'mean': 0.8180677242934369, 'std': 0.00620742805493829}, 'brier_score': {'mean': 0.1343751583340372, 'std': 0.0009692286292743705}, 'cohen_kappa': {'mean': 0.634614858992424, 'std': 0.011154496290171055}, 'f1': {'mean': 0.7970657885889422, 'std': 0.007554246844764518}, 'mean_absolute_stage_error': {'mean': 0.18047488306023818, 'std': 0.005200170373963844}, 'precision': {'mean': 0.788592575503215, 'std': 0.004607745246510827}, 'quadratic_weighted_kappa': {'mean': 0.634614858992424, 'std': 0.011154496290171055}, 'recall': {'mean': 0.8059202132535285, 'std': 0.016052706946789515}, 'roc_auc': {'mean': 0.897351861669569, 'std': 0.0024810671997212105}}",0.8059202132535285,COMPLETE
29,0.7984474453028685,18.0,,6,11,200,0.7983656735743208,"{'accuracy': {'mean': 0.818252047194908, 'std': 0.008402723609517743}, 'balanced_accuracy': {'mean': 0.8181957295361219, 'std': 0.008195661044346218}, 'brier_score': {'mean': 0.13381763534951763, 'std': 0.0023002825847545905}, 'cohen_kappa': {'mean': 0.6331086293509067, 'std': 0.016689639465852172}, 'f1': {'mean': 0.7983656735743208, 'std': 0.008732500282032969}, 'mean_absolute_stage_error': {'mean': 0.1817479528050921, 'std': 0.008402723609517727}, 'precision': {'mean': 0.7800068887794338, 'std': 0.011711236326370777}, 'quadratic_weighted_kappa': {'mean': 0.6331086293509067, 'std': 0.016689639465852172}, 'recall': {'mean': 0.8177172854768104, 'std': 0.009698230376135056}, 'roc_auc': {'mean': 0.8944633971747628, 'std': 0.004384485581266042}}",0.8177172854768104,COMPLETE
