number,value,params_l2_regularization,params_learning_rate,params_max_iter,params_max_leaf_nodes,params_min_samples_leaf,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
20,0.8168696292280082,0.3291491499852116,0.05144734738937763,280,54,38,0.8167859881370658,"{'accuracy': {'mean': 0.834899082076204, 'std': 0.005245542435427452}, 'balanced_accuracy': {'mean': 0.8350610946976763, 'std': 0.005107547437169141}, 'brier_score': {'mean': 0.11680081322235684, 'std': 0.0026201091009342673}, 'cohen_kappa': {'mean': 0.6666913642679673, 'std': 0.010437368126085941}, 'f1': {'mean': 0.8167859881370658, 'std': 0.005480011468193081}, 'mean_absolute_stage_error': {'mean': 0.16510091792379605, 'std': 0.00524554243542746}, 'precision': {'mean': 0.7980940982373765, 'std': 0.007379445970146567}, 'quadratic_weighted_kappa': {'mean': 0.6666913642679673, 'std': 0.010437368126085941}, 'recall': {'mean': 0.8364109094242304, 'std': 0.005709019739667447}, 'roc_auc': {'mean': 0.9171641586275173, 'std': 0.0036343346533495814}}",0.8364109094242304,COMPLETE
21,0.8170285155824707,0.001557910717478956,0.10587385930626708,280,46,39,0.8169458537533163,"{'accuracy': {'mean': 0.8370535926167229, 'std': 0.006835894644899487}, 'balanced_accuracy': {'mean': 0.8359355460558469, 'std': 0.007313489898973559}, 'brier_score': {'mean': 0.12212522053070671, 'std': 0.0041969034664462584}, 'cohen_kappa': {'mean': 0.6701654135404944, 'std': 0.014055916264927798}, 'f1': {'mean': 0.8169458537533163, 'std': 0.00831464280561281}, 'mean_absolute_stage_error': {'mean': 0.16294640738327718, 'std': 0.00683589464489947}, 'precision': {'mean': 0.8075947794631633, 'std': 0.007275531330878602}, 'quadratic_weighted_kappa': {'mean': 0.6701654135404944, 'std': 0.014055916264927798}, 'recall': {'mean': 0.8266182915439326, 'std': 0.013127123936539807}, 'roc_auc': {'mean': 0.9156730852190608, 'std': 0.004289160499047658}}",0.8266182915439326,COMPLETE
22,0.8183168060925718,0.004627883440605082,0.1669824554839296,280,49,43,0.8182344337709375,"{'accuracy': {'mean': 0.8390119291261385, 'std': 0.005458266432864632}, 'balanced_accuracy': {'mean': 0.8373731591750925, 'std': 0.0058656845214084576}, 'brier_score': {'mean': 0.1278925278235383, 'std': 0.004109459721556879}, 'cohen_kappa': {'mean': 0.6737748980334504, 'std': 0.011247634363097623}, 'f1': {'mean': 0.8182344337709375, 'std': 0.00672741478572171}, 'mean_absolute_stage_error': {'mean': 0.16098807087386136, 'std': 0.0054582664328646545}, 'precision': {'mean': 0.8129049887923763, 'std': 0.006327606100803399}, 'quadratic_weighted_kappa': {'mean': 0.6737748980334504, 'std': 0.011247634363097623}, 'recall': {'mean': 0.8237232163428307, 'std': 0.011200568718285113}, 'roc_auc': {'mean': 0.9170072122963443, 'std': 0.004304159049258517}}",0.8237232163428307,COMPLETE
23,0.8190754167047943,0.00020455451928888386,0.10039354962517896,320,57,36,0.8189927325048295,"{'accuracy': {'mean': 0.8392085346250522, 'std': 0.0032539022622569444}, 'balanced_accuracy': {'mean': 0.8378839056846491, 'std': 0.0033409596839951853}, 'brier_score': {'mean': 0.12320382959538004, 'std': 0.0023773217791421986}, 'cohen_kappa': {'mean': 0.6743827750855917, 'std': 0.00657355670003493}, 'f1': {'mean': 0.8189927325048295, 'std': 0.0038633655059505767}, 'mean_absolute_stage_error': {'mean': 0.16079146537494793, 'std': 0.003253902262256938}, 'precision': {'mean': 0.8114050484615152, 'std': 0.006768315115396475}, 'quadratic_weighted_kappa': {'mean': 0.6743827750855917, 'std': 0.00657355670003493}, 'recall': {'mean': 0.8268419996482109, 'std': 0.0089381681624006}, 'roc_auc': {'mean': 0.9178950651166554, 'std': 0.002971203096848723}}",0.8268419996482109,COMPLETE
24,0.8159737328297477,1.0218289139830272e-05,0.1377806034045647,200,34,46,0.8158908263090157,"{'accuracy': {'mean': 0.8353885103957376, 'std': 0.007331550896363047}, 'balanced_accuracy': {'mean': 0.8347107632083308, 'std': 0.007487897037775092}, 'brier_score': {'mean': 0.12111023242271127, 'std': 0.0019851016292787823}, 'cohen_kappa': {'mean': 0.6671127988532259, 'std': 0.014859664298369194}, 'f1': {'mean': 0.8158908263090157, 'std': 0.008354795959713307}, 'mean_absolute_stage_error': {'mean': 0.1646114896042625, 'std': 0.007331550896363049}, 'precision': {'mean': 0.8031995333712254, 'std': 0.009071461622658433}, 'quadratic_weighted_kappa': {'mean': 0.6671127988532259, 'std': 0.014859664298369194}, 'recall': {'mean': 0.829065207320185, 'std': 0.010929281725429544}, 'roc_auc': {'mean': 0.9134105142370217, 'std': 0.0022918677034308}}",0.829065207320185,COMPLETE
25,0.817456689254805,0.00042765002531425456,0.0315246846214074,280,42,27,0.8173717127280529,"{'accuracy': {'mean': 0.8329398826311675, 'std': 0.008945414886097031}, 'balanced_accuracy': {'mean': 0.8347441196060903, 'std': 0.009138864812222886}, 'brier_score': {'mean': 0.1183983844422791, 'std': 0.002588465765297928}, 'cohen_kappa': {'mean': 0.663847114179491, 'std': 0.01803721625640056}, 'f1': {'mean': 0.8173717127280529, 'std': 0.009915632308031379}, 'mean_absolute_stage_error': {'mean': 0.16706011736883258, 'std': 0.008945414886097052}, 'precision': {'mean': 0.78741540711346, 'std': 0.010019834936386888}, 'quadratic_weighted_kappa': {'mean': 0.663847114179491, 'std': 0.01803721625640056}, 'recall': {'mean': 0.8497652675207048, 'std': 0.01240441729629823}, 'roc_auc': {'mean': 0.9138556878909379, 'std': 0.003443051128681266}}",0.8497652675207048,COMPLETE
26,0.8182490769061359,0.011724832005790437,0.0861813533422777,200,49,41,0.8181655470746726,"{'accuracy': {'mean': 0.836661915726666, 'std': 0.006921027342828829}, 'balanced_accuracy': {'mean': 0.836515898624279, 'std': 0.007164293733220181}, 'brier_score': {'mean': 0.117895763314348, 'std': 0.0031969455397271892}, 'cohen_kappa': {'mean': 0.6700229601440704, 'std': 0.014063133251486974}, 'f1': {'mean': 0.8181655470746726, 'std': 0.007976327863089388}, 'mean_absolute_stage_error': {'mean': 0.1633380842733339, 'std': 0.006921027342828845}, 'precision': {'mean': 0.8017903956758584, 'std': 0.008068950167404174}, 'quadratic_weighted_kappa': {'mean': 0.6700229601440704, 'std': 0.014063133251486974}, 'recall': {'mean': 0.8352983146331855, 'std': 0.01118797169060473}, 'roc_auc': {'mean': 0.9166188175132959, 'std': 0.0035200298792173435}}",0.8352983146331855,COMPLETE
27,0.8147403487172628,0.13408436176883715,0.16622663758564446,240,19,36,0.8146570858986397,"{'accuracy': {'mean': 0.8333328059837873, 'std': 0.004066265796691619}, 'balanced_accuracy': {'mean': 0.833257528070338, 'std': 0.004467333669839714}, 'brier_score': {'mean': 0.12145499117634603, 'std': 0.0022176484062698077}, 'cohen_kappa': {'mean': 0.6633756909897749, 'std': 0.008411704401250525}, 'f1': {'mean': 0.8146570858986397, 'std': 0.00511316539457405}, 'mean_absolute_stage_error': {'mean': 0.16666719401621263, 'std': 0.004066265796691631}, 'precision': {'mean': 0.7975121098378242, 'std': 0.0046126416639428935}, 'quadratic_weighted_kappa': {'mean': 0.6633756909897749, 'std': 0.008411704401250525}, 'recall': {'mean': 0.8326281862301841, 'std': 0.009642307809461546}, 'roc_auc': {'mean': 0.9119035815615545, 'std': 0.002665954385998999}}",0.8326281862301841,COMPLETE
28,0.8182084962806244,2.885361700862733e-05,0.11472496825455514,320,60,44,0.8181261461811573,"{'accuracy': {'mean': 0.838914177696662, 'std': 0.004590615664867656}, 'balanced_accuracy': {'mean': 0.8372622012921553, 'std': 0.004703430207896009}, 'brier_score': {'mean': 0.12585997802949322, 'std': 0.0022009003755312784}, 'cohen_kappa': {'mean': 0.673575427997942, 'std': 0.009333801587385386}, 'f1': {'mean': 0.8181261461811573, 'std': 0.005292390118153627}, 'mean_absolute_stage_error': {'mean': 0.16108582230333815, 'std': 0.004590615664867671}, 'precision': {'mean': 0.8128403314680315, 'std': 0.005502816700548868}, 'quadratic_weighted_kappa': {'mean': 0.673575427997942, 'std': 0.009333801587385386}, 'recall': {'mean': 0.8235009946711391, 'std': 0.006495083939824877}, 'roc_auc': {'mean': 0.9179589708711884, 'std': 0.00248977126794116}}",0.8235009946711391,COMPLETE
29,0.8167432999669894,0.6624826635963764,0.027898639650773258,280,52,39,0.8166585905273992,"{'accuracy': {'mean': 0.8326467242244725, 'std': 0.006850371687967883}, 'balanced_accuracy': {'mean': 0.8341955500360647, 'std': 0.0067645001539250104}, 'brier_score': {'mean': 0.11733476402402562, 'std': 0.002224134571607088}, 'cohen_kappa': {'mean': 0.6630966319466092, 'std': 0.013660710598500598}, 'f1': {'mean': 0.8166585905273992, 'std': 0.007222103069489265}, 'mean_absolute_stage_error': {'mean': 0.16735327577552744, 'std': 0.006850371687967871}, 'precision': {'mean': 0.7883717907736963, 'std': 0.008746781469610295}, 'quadratic_weighted_kappa': {'mean': 0.6630966319466092, 'std': 0.013660710598500598}, 'recall': {'mean': 0.8470943959014099, 'std': 0.007684444282329721}, 'roc_auc': {'mean': 0.9154778792009008, 'std': 0.0032361477103658833}}",0.8470943959014099,COMPLETE
