number,value,params_C,params_gamma,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
20,0.7974250348811598,29.997637412480763,0.01291562931691142,0.7973447988108912,"{'accuracy': {'mean': 0.8206035947021506, 'std': 0.0036657142505007716}, 'balanced_accuracy': {'mean': 0.8186484912522005, 'std': 0.004481235577945407}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6364341647476385, 'std': 0.007972983349731478}, 'f1': {'mean': 0.7973447988108912, 'std': 0.00568535649092261}, 'mean_absolute_stage_error': {'mean': 0.17939640529784942, 'std': 0.0036657142505007803}, 'precision': {'mean': 0.7925314870158284, 'std': 0.004054482614238741}, 'quadratic_weighted_kappa': {'mean': 0.6364341647476385, 'std': 0.007972983349731478}, 'recall': {'mean': 0.8023607026862314, 'std': 0.01275234695751491}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8023607026862314,COMPLETE
21,0.821093482977729,6.456795306384466,0.00510236663297089,0.8210065922230919,"{'accuracy': {'mean': 0.8333321827525056, 'std': 0.007562990550486526}, 'balanced_accuracy': {'mean': 0.8371458973340686, 'std': 0.0078830487426346}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.665959914165136, 'std': 0.015267279628062345}, 'f1': {'mean': 0.8210065922230919, 'std': 0.008475148908314967}, 'mean_absolute_stage_error': {'mean': 0.16666781724749427, 'std': 0.007562990550486513}, 'precision': {'mean': 0.7781958209106743, 'std': 0.00811265894448188}, 'quadratic_weighted_kappa': {'mean': 0.665959914165136, 'std': 0.015267279628062345}, 'recall': {'mean': 0.8689075463705033, 'std': 0.01303724962753978}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8689075463705033,COMPLETE
22,0.8196812285476629,6.377498741418537,0.004935800233277148,0.8195943600399669,"{'accuracy': {'mean': 0.8317655710740144, 'std': 0.006706109269437586}, 'balanced_accuracy': {'mean': 0.8357230149589252, 'std': 0.0069656715761547625}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6629331584411824, 'std': 0.013508638847290047}, 'f1': {'mean': 0.8195943600399669, 'std': 0.0074776944153862315}, 'mean_absolute_stage_error': {'mean': 0.16823442892598556, 'std': 0.00670610926943757}, 'precision': {'mean': 0.7758447418211148, 'std': 0.007666125401271171}, 'quadratic_weighted_kappa': {'mean': 0.6629331584411824, 'std': 0.013508638847290047}, 'recall': {'mean': 0.8686850769600472, 'std': 0.01214390490907253}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8686850769600472,COMPLETE
23,0.8013947413120693,4.764360860862346,0.001538549980138539,0.8013099205882263,"{'accuracy': {'mean': 0.8149220265755407, 'std': 0.008949060501472228}, 'balanced_accuracy': {'mean': 0.8184898650782333, 'std': 0.008979319792608376}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6290890437870571, 'std': 0.01785310603639703}, 'f1': {'mean': 0.8013099205882263, 'std': 0.009417043188866676}, 'mean_absolute_stage_error': {'mean': 0.18507797342445936, 'std': 0.0089490605014722}, 'precision': {'mean': 0.7593353570894565, 'std': 0.009612475319954893}, 'quadratic_weighted_kappa': {'mean': 0.6290890437870571, 'std': 0.01785310603639703}, 'recall': {'mean': 0.8482072384312191, 'std': 0.00952616498098061}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8482072384312191,COMPLETE
24,0.8246159161570403,1.0938486274514096,0.021031510542391076,0.824527645373616,"{'accuracy': {'mean': 0.8347031477494399, 'std': 0.006071824585414992}, 'balanced_accuracy': {'mean': 0.8398497017393055, 'std': 0.0061608501415543245}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6695707294790851, 'std': 0.012118298697897604}, 'f1': {'mean': 0.824527645373616, 'std': 0.0064552369443936185}, 'mean_absolute_stage_error': {'mean': 0.16529685225056007, 'std': 0.006071824585414987}, 'precision': {'mean': 0.773593581602943, 'std': 0.0071018216611513476}, 'quadratic_weighted_kappa': {'mean': 0.6695707294790851, 'std': 0.012118298697897604}, 'recall': {'mean': 0.8827078342429475, 'std': 0.009308454537069948}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8827078342429475,COMPLETE
25,0.8176817999171956,0.7007355866172562,0.01900459359981038,0.8175934624920437,"{'accuracy': {'mean': 0.8265751571381795, 'std': 0.0073964309646028835}, 'balanced_accuracy': {'mean': 0.8326639748073441, 'std': 0.007427533760306005}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6540481302030126, 'std': 0.014697236513666749}, 'f1': {'mean': 0.8175934624920437, 'std': 0.0076734494653130396}, 'mean_absolute_stage_error': {'mean': 0.1734248428618205, 'std': 0.007396430964602874}, 'precision': {'mean': 0.7609604886150244, 'std': 0.0080807792921464}, 'quadratic_weighted_kappa': {'mean': 0.6540481302030126, 'std': 0.014697236513666749}, 'recall': {'mean': 0.883374251519258, 'std': 0.009103965058666763}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.883374251519258,COMPLETE
26,0.6332207606786708,0.19044803372079872,0.15968184202830346,0.6331209387285208,"{'accuracy': {'mean': 0.4909904247704711, 'std': 0.0038112519469192065}, 'balanced_accuracy': {'mean': 0.5453587336131852, 'std': 0.003470946768995207}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.08074082039278152, 'std': 0.006230600919777369}, 'f1': {'mean': 0.6331209387285208, 'std': 0.001903260485479973}, 'mean_absolute_stage_error': {'mean': 0.5090095752295289, 'std': 0.0038112519469192365}, 'precision': {'mean': 0.46357200375805585, 'std': 0.0018926428831944951}, 'quadratic_weighted_kappa': {'mean': 0.08074082039278152, 'std': 0.006230600919777369}, 'recall': {'mean': 0.9982195015000581, 'std': 0.000889940126078348}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.9982195015000581,COMPLETE
27,0.8082101253546156,1.393421196004061,0.08059715605007366,0.8081236577130143,"{'accuracy': {'mean': 0.8193297579034116, 'std': 0.005261772653870754}, 'balanced_accuracy': {'mean': 0.8241910183631687, 'std': 0.004940617888765323}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6388037575198586, 'std': 0.010240784688558548}, 'f1': {'mean': 0.8081236577130143, 'std': 0.005035047772053656}, 'mean_absolute_stage_error': {'mean': 0.18067024209658838, 'std': 0.005261772653870769}, 'precision': {'mean': 0.7585624277529099, 'std': 0.007542076386966387}, 'quadratic_weighted_kappa': {'mean': 0.6388037575198586, 'std': 0.010240784688558548}, 'recall': {'mean': 0.8646764160128427, 'std': 0.005702634468953429}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8646764160128427,COMPLETE
28,0.8003882350743272,15.347074425201807,0.02341658002623263,0.8003074647058653,"{'accuracy': {'mean': 0.8226592991141007, 'std': 0.0023286493757476876}, 'balanced_accuracy': {'mean': 0.8210578209326231, 'std': 0.0016727994326914577}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.6408504596863842, 'std': 0.004149781564949496}, 'f1': {'mean': 0.8003074647058653, 'std': 0.001749129012035623}, 'mean_absolute_stage_error': {'mean': 0.1773407008858993, 'std': 0.0023286493757477228}, 'precision': {'mean': 0.7932208858510721, 'std': 0.008424044967825124}, 'quadratic_weighted_kappa': {'mean': 0.6408504596863842, 'std': 0.004149781564949496}, 'recall': {'mean': 0.8077036846186434, 'std': 0.008882246345527712}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",0.8077036846186434,COMPLETE
29,0.6134790969200659,0.32404993096132456,0.3299557544633791,0.6133790969200659,"{'accuracy': {'mean': 0.44535814944414964, 'std': 0.001164121534188959}, 'balanced_accuracy': {'mean': 0.5048083041193276, 'std': 0.0010335045028711277}, 'brier_score': {'mean': 1.0, 'std': 0.0}, 'cohen_kappa': {'mean': 0.008472287716384419, 'std': 0.0018236298047089735}, 'f1': {'mean': 0.6133790969200659, 'std': 0.0005194957568936214}, 'mean_absolute_stage_error': {'mean': 0.5546418505558505, 'std': 0.0011641215341889836}, 'precision': {'mean': 0.4423554962764178, 'std': 0.0005405417013410698}, 'quadratic_weighted_kappa': {'mean': 0.008472287716384419, 'std': 0.0018236298047089735}, 'recall': {'mean': 1.0, 'std': 0.0}, 'roc_auc': {'mean': 0.0, 'std': 0.0}}",1.0,COMPLETE
