number,value,params_C,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
20,0.772613368194175,1.3229011302622098,0.7725355140578047,"{'accuracy': {'mean': 0.7982751834577158, 'std': 0.007744858627285898}, 'balanced_accuracy': {'mean': 0.7961589161018402, 'std': 0.007664096550704901}, 'brier_score': {'mean': 0.1425073656207295, 'std': 0.004226927824791613}, 'cohen_kappa': {'mean': 0.5913378544089515, 'std': 0.015517896872064625}, 'f1': {'mean': 0.7725355140578047, 'std': 0.008352220246463642}, 'mean_absolute_stage_error': {'mean': 0.20172481654228408, 'std': 0.007744858627285909}, 'precision': {'mean': 0.7666596721547398, 'std': 0.00995402323067083}, 'quadratic_weighted_kappa': {'mean': 0.5913378544089515, 'std': 0.015517896872064625}, 'recall': {'mean': 0.7785413637028027, 'std': 0.008317289525329641}, 'roc_auc': {'mean': 0.8750007490392129, 'std': 0.006335081831966856}}",0.7785413637028027,COMPLETE
21,0.7732234611054923,3.0628707361256136,0.7731455624256922,"{'accuracy': {'mean': 0.7988628426154044, 'std': 0.0076065952306580914}, 'balanced_accuracy': {'mean': 0.7967313600771655, 'std': 0.007541590491756803}, 'brier_score': {'mean': 0.14244374187221898, 'std': 0.004246675222364952}, 'cohen_kappa': {'mean': 0.592508388939779, 'std': 0.0152502884390515}, 'f1': {'mean': 0.7731455624256922, 'std': 0.008244646497227568}, 'mean_absolute_stage_error': {'mean': 0.20113715738459553, 'std': 0.007606595230658096}, 'precision': {'mean': 0.7674378225454594, 'std': 0.009831444974200593}, 'quadratic_weighted_kappa': {'mean': 0.592508388939779, 'std': 0.0152502884390515}, 'recall': {'mean': 0.7789867980012437, 'std': 0.008647866222053309}, 'roc_auc': {'mean': 0.8750634359682168, 'std': 0.006365739673348723}}",0.7789867980012437,COMPLETE
22,0.7706213843633776,0.29993405980436694,0.7705437972893954,"{'accuracy': {'mean': 0.7967085717792246, 'std': 0.006863512505077975}, 'balanced_accuracy': {'mean': 0.7944741067648335, 'std': 0.007066855991517137}, 'brier_score': {'mean': 0.14283401967821502, 'std': 0.004122445257101171}, 'cohen_kappa': {'mean': 0.5880768523361597, 'std': 0.013968219636359955}, 'f1': {'mean': 0.7705437972893954, 'std': 0.007968035312592195}, 'mean_absolute_stage_error': {'mean': 0.20329142822077534, 'std': 0.006863512505077981}, 'precision': {'mean': 0.7653244713319977, 'std': 0.007626044569174726}, 'quadratic_weighted_kappa': {'mean': 0.5880768523361597, 'std': 0.013968219636359955}, 'recall': {'mean': 0.7758707398222723, 'std': 0.009854562399238376}, 'roc_auc': {'mean': 0.8745294430706126, 'std': 0.0062726416866813696}}",0.7758707398222723,COMPLETE
23,0.7732190530233632,1.8498472205797545,0.7731411544178848,"{'accuracy': {'mean': 0.7988626508519332, 'std': 0.008269732081905899}, 'balanced_accuracy': {'mean': 0.7967309884690188, 'std': 0.008270630994728882}, 'brier_score': {'mean': 0.1424583277744151, 'std': 0.0042416943571551785}, 'cohen_kappa': {'mean': 0.5925064833097708, 'std': 0.016637007341796756}, 'f1': {'mean': 0.7731411544178848, 'std': 0.009106649881209397}, 'mean_absolute_stage_error': {'mean': 0.2011373491480668, 'std': 0.008269732081905868}, 'precision': {'mean': 0.7674339611896759, 'std': 0.010341429080509732}, 'quadratic_weighted_kappa': {'mean': 0.5925064833097708, 'std': 0.016637007341796756}, 'recall': {'mean': 0.7789860547849503, 'std': 0.009894347139816061}, 'roc_auc': {'mean': 0.8750554430490627, 'std': 0.00637340901078878}}",0.7789860547849503,COMPLETE
24,0.7720551262432575,12.451692501347646,0.7719774055885334,"{'accuracy': {'mean': 0.7979818332875498, 'std': 0.007191511007126653}, 'balanced_accuracy': {'mean': 0.7957537456327098, 'std': 0.007092545183517817}, 'brier_score': {'mean': 0.14251354999948673, 'std': 0.004243417790879895}, 'cohen_kappa': {'mean': 0.5906555602805319, 'std': 0.014390114300121814}, 'f1': {'mean': 0.7719774055885334, 'std': 0.0077221557631166424}, 'mean_absolute_stage_error': {'mean': 0.20201816671245018, 'std': 0.007191511007126629}, 'precision': {'mean': 0.7668598310203624, 'std': 0.00944893704824571}, 'quadratic_weighted_kappa': {'mean': 0.5906555602805319, 'std': 0.014390114300121814}, 'recall': {'mean': 0.7772065472400663, 'std': 0.00785360519595513}, 'roc_auc': {'mean': 0.8749453398483041, 'std': 0.006351580962777332}}",0.7772065472400663,COMPLETE
25,0.7713282490944045,0.5695564184705508,0.7712506175760879,"{'accuracy': {'mean': 0.7973939823663899, 'std': 0.00689320725909417}, 'balanced_accuracy': {'mean': 0.7951333148971337, 'std': 0.006953182417819202}, 'brier_score': {'mean': 0.14265206666941932, 'std': 0.004171922295905946}, 'cohen_kappa': {'mean': 0.5894399951150701, 'std': 0.013913491177681632}, 'f1': {'mean': 0.7712506175760879, 'std': 0.007727845522148821}, 'mean_absolute_stage_error': {'mean': 0.20260601763360997, 'std': 0.006893207259094203}, 'precision': {'mean': 0.7662953243094272, 'std': 0.00847018941700032}, 'quadratic_weighted_kappa': {'mean': 0.5894399951150701, 'std': 0.013913491177681632}, 'recall': {'mean': 0.7763151831656556, 'std': 0.00904427634891213}, 'roc_auc': {'mean': 0.8747888532589394, 'std': 0.0062873792036516295}}",0.7763151831656556,COMPLETE
26,0.769964464191179,0.16453907233556783,0.7698869438827938,"{'accuracy': {'mean': 0.7961209605624039, 'std': 0.006825249924284835}, 'balanced_accuracy': {'mean': 0.7938778880646206, 'std': 0.006942908852718571}, 'brier_score': {'mean': 0.14307737394198036, 'std': 0.00406314351341967}, 'cohen_kappa': {'mean': 0.5868885701846568, 'std': 0.013822252583847873}, 'f1': {'mean': 0.7698869438827938, 'std': 0.0077495827897512545}, 'mean_absolute_stage_error': {'mean': 0.20387903943759608, 'std': 0.00682524992428487}, 'precision': {'mean': 0.7646763529820287, 'std': 0.007969423742464682}, 'quadratic_weighted_kappa': {'mean': 0.5868885701846568, 'std': 0.013822252583847873}, 'recall': {'mean': 0.7752030838521397, 'std': 0.009106973622228792}, 'roc_auc': {'mean': 0.8741742986484671, 'std': 0.006260359006754953}}",0.7752030838521397,COMPLETE
27,0.773574331313471,2.424115879202722,0.7734963881645627,"{'accuracy': {'mean': 0.799156624253381, 'std': 0.007421286834522858}, 'balanced_accuracy': {'mean': 0.797041118205652, 'std': 0.007407607000598448}, 'brier_score': {'mean': 0.1424584610308859, 'std': 0.0042228198361072946}, 'cohen_kappa': {'mean': 0.5931113703228279, 'std': 0.014913894171981312}, 'f1': {'mean': 0.7734963881645627, 'std': 0.00815654954930522}, 'mean_absolute_stage_error': {'mean': 0.2008433757466191, 'std': 0.007421286834522866}, 'precision': {'mean': 0.7677060792722767, 'std': 0.009501708479173091}, 'quadratic_weighted_kappa': {'mean': 0.5931113703228279, 'std': 0.014913894171981312}, 'recall': {'mean': 0.7794314890833913, 'std': 0.009235235273570007}, 'roc_auc': {'mean': 0.8750570180376214, 'std': 0.006319284403410219}}",0.7794314890833913,COMPLETE
28,0.7698767003868204,0.09146658543443034,0.7697990687941823,"{'accuracy': {'mean': 0.7957291877906115, 'std': 0.007936230922163995}, 'balanced_accuracy': {'mean': 0.7936476725192664, 'std': 0.00810683599615297}, 'brier_score': {'mean': 0.14340212483946957, 'std': 0.004000551483429322}, 'cohen_kappa': {'mean': 0.5862316403992451, 'std': 0.01610741110785039}, 'f1': {'mean': 0.7697990687941823, 'std': 0.009060831514040349}, 'mean_absolute_stage_error': {'mean': 0.20427081220938845, 'std': 0.007936230922164014}, 'precision': {'mean': 0.7634106039165847, 'std': 0.008811858794261383}, 'quadratic_weighted_kappa': {'mean': 0.5862316403992451, 'std': 0.01610741110785039}, 'recall': {'mean': 0.7763159263819488, 'std': 0.010135472804192977}, 'roc_auc': {'mean': 0.8736911001394312, 'std': 0.00623591397662558}}",0.7763159263819488,COMPLETE
29,0.7694364064153074,0.048659019423513965,0.7693588193908729,"{'accuracy': {'mean': 0.7953373670779513, 'std': 0.0080868160356396}, 'balanced_accuracy': {'mean': 0.7932500063258384, 'std': 0.008240434240370114}, 'brier_score': {'mean': 0.1439164177986187, 'std': 0.003938605677389344}, 'cohen_kappa': {'mean': 0.5854384787525232, 'std': 0.016398220867982077}, 'f1': {'mean': 0.7693588193908729, 'std': 0.009195908056478085}, 'mean_absolute_stage_error': {'mean': 0.20466263292204862, 'std': 0.0080868160356396}, 'precision': {'mean': 0.762976682941109, 'std': 0.009090493953061893}, 'quadratic_weighted_kappa': {'mean': 0.5854384787525232, 'std': 0.016398220867982077}, 'recall': {'mean': 0.7758702443447434, 'std': 0.0101629727398119}, 'roc_auc': {'mean': 0.8729391584870999, 'std': 0.006243421939000974}}",0.7758702443447434,COMPLETE
