number,value,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,user_attrs_f1,user_attrs_metrics,user_attrs_recall,state
20,0.8003288709011578,4,160,6.005180285326546,0.13550245669712846,0.8002471882842437,"{'accuracy': {'mean': 0.8206027317665299, 'std': 0.0036685943226571266}, 'balanced_accuracy': {'mean': 0.8201983356274866, 'std': 0.004025785601887596}, 'brier_score': {'mean': 0.12514906522922226, 'std': 0.001796020861141475}, 'cohen_kappa': {'mean': 0.6375624063277268, 'std': 0.007626501798968716}, 'f1': {'mean': 0.8002471882842437, 'std': 0.0046534818628580455}, 'mean_absolute_stage_error': {'mean': 0.17939726823347008, 'std': 0.003668594322657145}, 'precision': {'mean': 0.7843512238749579, 'std': 0.003061537405301573}, 'quadratic_weighted_kappa': {'mean': 0.6375624063277268, 'std': 0.007626501798968716}, 'recall': {'mean': 0.816826169141164, 'std': 0.007501833628875245}, 'roc_auc': {'mean': 0.903925790723488, 'std': 0.0026910001205692814}}",0.816826169141164,COMPLETE
21,0.8029222439265524,5,120,8.365981962254443,0.24894140861231562,0.8028409393837667,"{'accuracy': {'mean': 0.8243234225177296, 'std': 0.007995390997276842}, 'balanced_accuracy': {'mean': 0.8231155043403046, 'std': 0.008164678065335775}, 'brier_score': {'mean': 0.1237111709927583, 'std': 0.002880607246151381}, 'cohen_kappa': {'mean': 0.6444754705481291, 'std': 0.01617371626234356}, 'f1': {'mean': 0.8028409393837667, 'std': 0.009108525009116823}, 'mean_absolute_stage_error': {'mean': 0.17567657748227025, 'std': 0.00799539099727684}, 'precision': {'mean': 0.7930237005779669, 'std': 0.010349063802583974}, 'quadratic_weighted_kappa': {'mean': 0.6444754705481291, 'std': 0.01617371626234356}, 'recall': {'mean': 0.8130454278572332, 'std': 0.013008477681092435}, 'roc_auc': {'mean': 0.904854090305889, 'std': 0.003780678340279771}}",0.8130454278572332,COMPLETE
22,0.8015264108382913,4,160,10.799623084208337,0.20075457637644764,0.8014449733093368,"{'accuracy': {'mean': 0.8224623580291125, 'std': 0.006718617747568981}, 'balanced_accuracy': {'mean': 0.821595885263258, 'std': 0.006753829479557292}, 'brier_score': {'mean': 0.12403927085868689, 'std': 0.0021355490591519533}, 'cohen_kappa': {'mean': 0.6409757865978419, 'std': 0.013540026201932853}, 'f1': {'mean': 0.8014449733093368, 'std': 0.007430917431853721}, 'mean_absolute_stage_error': {'mean': 0.17753764197088745, 'std': 0.006718617747568969}, 'precision': {'mean': 0.7889431373448021, 'std': 0.008173923022883849}, 'quadratic_weighted_kappa': {'mean': 0.6409757865978419, 'std': 0.013540026201932853}, 'recall': {'mean': 0.814375289544681, 'std': 0.007972237881334745}, 'roc_auc': {'mean': 0.9048677443511434, 'std': 0.002909173165845063}}",0.814375289544681,COMPLETE
23,0.8055676418442195,5,120,8.874793659456577,0.19368042230381408,0.8054857369313121,"{'accuracy': {'mean': 0.8259876897439622, 'std': 0.007459843670776476}, 'balanced_accuracy': {'mean': 0.8252442997451108, 'std': 0.007890225539837922}, 'brier_score': {'mean': 0.1229000806244313, 'std': 0.0026725343374268784}, 'cohen_kappa': {'mean': 0.6481436086822836, 'std': 0.015294813756361377}, 'f1': {'mean': 0.8054857369313121, 'std': 0.00889528066665272}, 'mean_absolute_stage_error': {'mean': 0.1740123102560378, 'std': 0.007459843670776475}, 'precision': {'mean': 0.7923973378688162, 'std': 0.006919777618532213}, 'quadratic_weighted_kappa': {'mean': 0.6481436086822836, 'std': 0.015294813756361377}, 'recall': {'mean': 0.8190491290743737, 'std': 0.011973673712811472}, 'roc_auc': {'mean': 0.9062974532625654, 'std': 0.003906529462911981}}",0.8190491290743737,COMPLETE
24,0.7886772212711824,5,80,7.346440912786456,0.08384518270837825,0.7885966739914779,"{'accuracy': {'mean': 0.8100264010359064, 'std': 0.004346058614003865}, 'balanced_accuracy': {'mean': 0.8095382908558746, 'std': 0.004806772734813686}, 'brier_score': {'mean': 0.13597369939712875, 'std': 0.0015391580826200992}, 'cohen_kappa': {'mean': 0.6162470588564786, 'std': 0.009055958660044506}, 'f1': {'mean': 0.7885966739914779, 'std': 0.0056612906199631835}, 'mean_absolute_stage_error': {'mean': 0.18997359896409372, 'std': 0.004346058614003882}, 'precision': {'mean': 0.772494811244399, 'std': 0.004899234796729257}, 'quadratic_weighted_kappa': {'mean': 0.6162470588564786, 'std': 0.009055958660044506}, 'recall': {'mean': 0.805472797044972, 'std': 0.010699757688191258}, 'roc_auc': {'mean': 0.8903585906442701, 'std': 0.003211856056959578}}",0.805472797044972,COMPLETE
25,0.8075547375896088,4,240,9.417791745147898,0.12149450835445107,0.8074726991702812,"{'accuracy': {'mean': 0.8279461700759814, 'std': 0.007902986717990482}, 'balanced_accuracy': {'mean': 0.8271353786402743, 'std': 0.008617871494418814}, 'brier_score': {'mean': 0.12214221462712724, 'std': 0.00219688087342977}, 'cohen_kappa': {'mean': 0.6520275616478023, 'std': 0.01636357138091069}, 'f1': {'mean': 0.8074726991702812, 'std': 0.009884868377081388}, 'mean_absolute_stage_error': {'mean': 0.17205382992401852, 'std': 0.00790298671799047}, 'precision': {'mean': 0.7950926361681956, 'std': 0.007398487433970717}, 'quadratic_weighted_kappa': {'mean': 0.6520275616478023, 'std': 0.01636357138091069}, 'recall': {'mean': 0.8203841932758745, 'std': 0.016212167170597258}, 'roc_auc': {'mean': 0.907650521480598, 'std': 0.003252723182633101}}",0.8203841932758745,COMPLETE
26,0.799715163831602,4,240,6.294275748510084,0.050486260529013643,0.7996334368199013,"{'accuracy': {'mean': 0.8198188506368705, 'std': 0.00487259860516886}, 'balanced_accuracy': {'mean': 0.8195454189217436, 'std': 0.005182637702141697}, 'brier_score': {'mean': 0.1300937076364515, 'std': 0.0015988894884242794}, 'cohen_kappa': {'mean': 0.6360820314012497, 'std': 0.009983354147417125}, 'f1': {'mean': 0.7996334368199013, 'std': 0.005861875636339538}, 'mean_absolute_stage_error': {'mean': 0.18018114936312954, 'std': 0.0048725986051688435}, 'precision': {'mean': 0.782796617215591, 'std': 0.0053421903817631195}, 'quadratic_weighted_kappa': {'mean': 0.6360820314012497, 'std': 0.009983354147417125}, 'recall': {'mean': 0.8172701170070186, 'std': 0.009499754636283353}, 'roc_auc': {'mean': 0.8983959940706043, 'std': 0.0030011594998376003}}",0.8172701170070186,COMPLETE
27,0.8098047472901982,4,240,8.006001249790211,0.13180538001523487,0.8097219967457923,"{'accuracy': {'mean': 0.8289255061237266, 'std': 0.005539322391843603}, 'balanced_accuracy': {'mean': 0.8287728506324801, 'std': 0.006009916795859701}, 'brier_score': {'mean': 0.12132614794058541, 'std': 0.0016751449598088005}, 'cohen_kappa': {'mean': 0.6544622666009363, 'std': 0.011426670641549251}, 'f1': {'mean': 0.8097219967457923, 'std': 0.00689034805575266}, 'mean_absolute_stage_error': {'mean': 0.17107449387627321, 'std': 0.005539322391843597}, 'precision': {'mean': 0.7928030341354887, 'std': 0.006614511283072198}, 'quadratic_weighted_kappa': {'mean': 0.6544622666009363, 'std': 0.011426670641549251}, 'recall': {'mean': 0.8275054440593482, 'std': 0.012622721319618115}, 'roc_auc': {'mean': 0.9085314508814324, 'std': 0.0024785020545416052}}",0.8275054440593482,COMPLETE
28,0.8065463970357533,4,240,5.191327433955594,0.11405109264278929,0.8064639354042944,"{'accuracy': {'mean': 0.8258905136048993, 'std': 0.0029496762995514917}, 'balanced_accuracy': {'mean': 0.8257542475120401, 'std': 0.003314737668664357}, 'brier_score': {'mean': 0.12233053842940551, 'std': 0.0012794522926787447}, 'cohen_kappa': {'mean': 0.6483799773933119, 'std': 0.006110906289831993}, 'f1': {'mean': 0.8064639354042944, 'std': 0.0039884638870135115}, 'mean_absolute_stage_error': {'mean': 0.17410948639510085, 'std': 0.0029496762995514627}, 'precision': {'mean': 0.7892293858210023, 'std': 0.005996107299710803}, 'quadratic_weighted_kappa': {'mean': 0.6483799773933119, 'std': 0.006110906289831993}, 'recall': {'mean': 0.8246163145885926, 'std': 0.010751308334668804}, 'roc_auc': {'mean': 0.9077753026343846, 'std': 0.0023097628235497786}}",0.8246163145885926,COMPLETE
29,0.807341300475249,4,240,7.693779867209996,0.10166230576520059,0.8072589282279363,"{'accuracy': {'mean': 0.8269670257917074, 'std': 0.008851614330163312}, 'balanced_accuracy': {'mean': 0.8266192803567456, 'std': 0.009158525875544775}, 'brier_score': {'mean': 0.12273902719531851, 'std': 0.002324078021898694}, 'cohen_kappa': {'mean': 0.6503930398654127, 'std': 0.017980636232995097}, 'f1': {'mean': 0.8072589282279363, 'std': 0.010181478747541783}, 'mean_absolute_stage_error': {'mean': 0.1730329742082925, 'std': 0.008851614330163276}, 'precision': {'mean': 0.791522947343348, 'std': 0.009871273889412705}, 'quadratic_weighted_kappa': {'mean': 0.6503930398654127, 'std': 0.017980636232995097}, 'recall': {'mean': 0.8237224731265375, 'std': 0.013588881705692309}, 'roc_auc': {'mean': 0.9073281288734922, 'std': 0.0036915889218630217}}",0.8237224731265375,COMPLETE
