feature,shap_mean_abs,permutation_importance_mean,permutation_importance_std,model_native_importance
vessel_endpoint_count,0.015968633004062576,-0.0018150012620598427,0.004612923129801077,0.010159071534872055
fft_mid_frequency_ratio,0.014898210722469957,-0.004891845711758366,0.004284719742297204,0.010371067561209202
wavelet_diagonal_energy,0.01489633865003707,0.003844066154458134,0.004019742866411745,0.010028114542365074
vessel_abnormality_score,0.014322751206782414,0.004128978883067416,0.0021630741022891104,0.011564129032194614
rgb_g_max,0.013618843584356364,0.003536782321077639,0.003029224749632788,0.01039634644985199
temporal_texture_std,0.01291560761955916,-5.198507290997412e-05,0.002649403904623461,0.009179716929793358
exudate_burden_score,0.012493233107833658,0.002493461772623884,0.0031809228559041753,0.01168033480644226
lab_color_l_max,0.012425330614147242,0.00247130832935627,0.0038430579805919358,0.009451025165617466
glcm_energy_0,0.012384572097667843,0.007412416217702875,0.0032147742751260228,0.011207524687051773
texture_std,0.010594511261885054,-0.0012119701802671828,0.002706774394691502,0.0115339495241642
vessel_fragmentation_index,0.009882949471153552,0.0007763745309856546,0.001578175007452639,0.009232754819095135
glcm_energy_135,0.009533020119881257,0.0023072961492528465,0.004027023609032026,0.009985538199543953
glcm_entropy,0.008675349395530066,0.001534143993372733,0.003781332078165816,0.01167704164981842
glcm_energy_45,0.008161038641806227,0.006190437163713425,0.00480980792551094,0.011959224008023739
glcm_energy_90,0.004790827583731152,0.0009261739612989733,0.0009728035104166591,0.00990248192101717
vessel_skeleton_length,0.004770280716230627,-0.00018321901060044943,0.0004847519375080962,0.010699898935854435
exudate_area,0.004644725918862969,-0.001868852565546808,0.00245212650904194,0.01134718768298626
glcm_energy,0.004618477235035971,0.000984921449882381,0.000856428146962624,0.016300540417432785
exudate_count,0.00354364487202256,0.0010013260049264588,0.0018400012689981189,0.00799040962010622
hard_exudate_coverage_pct,0.002502643264568178,-0.0010680112485485227,0.0018618961570158776,0.0186163317412138
texture_variance,0.0009418180067266803,-0.0019068948650884932,0.0007382363011824004,0.01132307667285204
